	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420	430	440	450	460	470	480	490	500	510	520	530	540	550	560	570	580	590	600	610	620	630	640	650	660	670	680	690	700	710	720	730	740	750	760	770	780	790	800	810	820	830	840	850	860	870	880	890	900	910	920	930	940	950	960	970	980	990	1000
0	0	0	0	0	0.012281	0.0368429	0.207723	0.24211	0.43525	0.616306	1.18825	1.441	1.88957	2.69481	3.41202	4.04578	5.1588	5.64894	6.87735	8.40157	9.77254	11.6152	13.4347	14.9252	17.2224	18.5927	20.5148	22.3372	23.9675	25.1957	28.963	28.9195	32.947	33.98	36.7161	39.4717	42.1956	43.0736	45.7185	48.8629	51.8519	53.7433	55.8369	57.2726	60.5015	62.3652	65.2761	67.9021	69.1542	71.7912	72.6886	75.4578	78.1138	78.4156	80.3259	81.6488	82.4598	84.5985	85.9963	87.6787	88.5058	90.6503	91.0052	92.3308	93.4702	94.2578	95.5475	96.1657	97.1703	97.5597	98.5801	98.7247	99.8426	100.486	101.029	101.892	102.079	103.07	102.708	103.425	103.535	103.912	104.303	104.517	104.836	104.54	105.602	105.06	105.658	105.652	106.023	105.854	106.042	106.097	106.433	106.471	106.491	106.364	106.405	106.856	106.733
7	0	0.9968	1.37816	1.5812	1.69966	1.79244	1.84666	1.99414	2.33624	2.47895	2.82768	3.15266	3.48918	4.32449	4.73761	5.81975	6.79382	7.52622	8.57041	9.79029	10.9858	13.0352	14.2188	16.0876	17.8331	19.3597	20.3166	23.2583	25.0657	26.773	29.0128	32.3671	33.2098	36.4085	38.2613	40.3305	41.9647	45.7069	47.6285	49.3867	52.1071	54.6378	57.634	58.7664	61.3659	61.5184	65.1613	68.5271	69.6802	72.4939	73.4874	75.7123	77.0085	79.0999	80.6921	81.2771	83.7153	85.9502	85.6259	88.3054	88.4047	89.9466	91.442	92.3946	93.8299	94.9296	96.243	96.487	97.3512	97.9873	98.9501	99.254	100.064	100.732	101.171	100.868	101.756	102.907	102.491	103.368	104.135	104.295	104.697	104.72	105.188	105.083	105.404	105.486	105.793	105.972	105.916	105.867	106.137	106.304	106.235	106.632	106.382	106.268	106.54	106.498	106.497
14	0	1.15998	1.99394	2.50665	2.81567	3.05117	3.32947	3.44467	3.65145	4.02672	4.45954	4.86876	5.49799	5.82865	6.65173	7.62944	8.44127	9.42779	10.0295	11.4367	12.6531	14.1104	15.2783	17.3162	18.7217	20.7674	23.4146	24.3121	26.4213	28.8769	31.132	32.615	34.952	37.4918	39.6628	41.0597	44.6774	46.2392	48.1582	51.2727	53.9366	55.2648	57.1093	59.7468	61.7633	63.8452	65.6916	68.2762	70.1657	72.3232	74.574	75.1967	77.4991	79.7382	80.9972	82.8854	84.1156	85.8332	87.4509	88.9865	89.64	90.8752	92.0604	92.8511	94.9303	94.982	95.9912	96.6936	97.7703	98.0376	98.9095	99.463	100.391	100.466	100.901	101.803	101.796	102.502	103.071	103.41	103.762	104.154	104.314	104.536	104.479	105.535	105.246	105.65	105.913	105.947	105.652	106.234	106.525	106.344	106.357	106.539	106.707	106.631	106.728	106.721	106.757
21	0	1.21945	2.23078	2.99045	3.52129	3.91741	4.2612	4.63665	4.966	5.46841	5.90442	6.29391	6.60348	7.28804	8.22695	9.02447	9.41512	10.5268	11.698	12.7466	14.1022	15.9974	16.7306	19.0858	19.9975	21.3816	24.1558	26.1608	27.9	29.287	31.4039	34.402	36.6594	37.504	40.7176	42.5377	45.2317	47.8711	50.0149	51.1121	54.0934	57.2193	58.421	60.6115	61.4247	65.2271	66.561	68.5626	70.3136	72.6401	74.2457	76.2662	78.0739	79.9221	81.6266	82.4171	84.1763	84.8267	87.3481	88.923	89.8818	91.32	91.7488	93.6192	94.2647	94.9789	96.024	96.5769	97.8591	98.3066	98.7852	99.932	100.141	101.156	101.567	101.462	102.343	103.282	103.487	103.669	103.841	104.253	104.006	104.578	104.92	105.334	105.207	105.291	105.893	105.721	105.899	105.586	106.211	106.314	106.332	106.042	106.458	106.593	106.774	106.591	106.549
28	0	1.25266	2.35788	3.30388	3.99027	4.58402	5.03714	5.52359	6.08888	6.34833	6.94363	7.45585	8.04375	8.84465	9.16454	10.3245	11.1204	12.1002	12.9018	14.6698	16.0624	17.2976	18.4555	20.1774	21.8597	23.7611	24.8272	28.1436	29.0587	30.7144	33.1757	35.1816	36.5201	38.6199	42.3786	44.1008	45.431	47.9081	50.1871	52.9662	54.1818	55.9464	58.9471	61.5569	63.2711	65.194	67.7659	70.3855	70.7849	73.8816	74.5626	77.3527	78.9286	79.8238	82.0436	83.885	85.0272	86.5975	86.5727	89.3817	90.7742	91.6122	92.2894	93.4051	95.1063	96.0417	96.5773	96.8877	98.4013	97.7349	98.9769	99.8523	100.402	100.904	101.872	102.231	102.229	102.803	103.286	103.646	103.899	104.27	104.42	105.102	105.293	105.221	105.239	105.687	106.002	106.111	105.917	105.961	106.285	106.456	106.261	106.32	106.556	106.618	106.505	106.522	106.747
35	0.012281	1.25632	2.44001	3.42207	4.30675	5.02476	5.5736	6.2058	6.72325	7.30599	7.8397	8.63324	9.02251	9.87847	10.9835	11.7134	12.273	13.4498	14.4452	15.9701	17.871	18.7315	19.6777	21.5239	22.9252	24.6742	26.7437	27.9089	29.3565	32.005	33.5718	35.8679	38.0256	40.3087	42.1592	44.1593	46.1304	49.1839	50.7636	52.7412	56.0944	58.3586	59.3646	61.4952	64.0018	65.0347	68.1408	69.9342	70.8055	72.7216	75.3799	77.7328	79.345	81.3578	81.5729	84.2289	84.8153	87.6365	87.9889	89.0818	89.4985	91.807	92.1663	94.0918	93.9387	95.0356	96.2392	96.6065	97.7662	98.6308	100.23	100.028	100.114	101.734	101.155	102.436	102.535	103.371	103.261	103.96	103.816	104.269	104.484	104.936	104.963	105.158	105.605	105.6	105.859	105.821	106.284	105.887	106.336	106.603	106.408	106.561	106.413	106.701	106.667	106.589	106.783
42	0.0245619	1.27796	2.50224	3.58927	4.54193	5.34498	6.07325	6.88672	7.63338	8.11124	8.76399	9.51408	10.4554	10.886	11.6838	12.5479	13.6108	14.6579	15.949	17.0322	18.0514	20.0314	20.578	22.3813	24.764	25.5989	27.5552	29.9564	32.2424	32.7619	35.8085	37.4125	39.4675	40.5847	43.4811	45.6813	47.3196	50.0329	53.3329	53.9262	55.9023	59.2027	60.0651	62.223	63.9922	66.6734	68.5626	71.1062	72.3153	74.1805	76.305	78.1211	79.3693	81.3407	83.0529	83.8249	85.2223	86.696	89.4505	89.7916	90.7513	92.4877	93.1118	94.2238	95.1003	96.1132	96.0282	96.6172	99.0272	98.3389	99.4848	100.496	101.117	101.165	101.99	102.564	102.227	102.968	103.621	103.785	104.031	104.043	104.644	104.856	105.555	105.561	105.516	105.854	106.092	105.979	105.986	106.341	106.223	106.334	106.507	106.671	106.61	106.691	106.696	106.657	106.708
49	0.0963948	1.34191	2.62947	3.71183	4.68584	5.57347	6.44423	7.32579	8.04994	8.83404	9.47339	10.0651	11.1315	12.1238	12.7188	13.7523	14.7611	15.4849	17.1029	18.5483	19.0052	20.7717	22.2733	23.9321	25.2728	27.1425	28.6801	31.1736	32.7101	33.1107	36.9569	38.1913	39.8907	42.6587	44.6083	46.3074	47.9333	50.3147	53.7601	55.665	57.0754	59.3672	61.8238	63.4245	65.2822	67.2424	69.8165	71.6979	72.2136	74.2199	77.0138	78.684	80.0164	80.6668	83.7678	84.6555	86.0238	86.1879	88.7193	90.2729	91.3246	92.3119	93.3036	93.6517	95.6415	95.6812	96.969	97.4499	97.9709	98.9656	100.45	100.301	100.951	101.225	101.639	102.593	102.625	103.392	103.181	104.123	104.221	104.535	104.604	105.227	105.17	105.255	105.657	106.163	105.674	106.226	106.383	106.316	106.233	106.5	106.287	106.311	106.663	106.629	106.673	106.698	106.976
56	0.293339	1.52646	2.74454	3.85013	4.88772	5.97003	6.7132	7.5015	8.71015	9.22193	10.1557	10.6288	11.6377	12.7215	13.4015	14.3262	15.3257	16.8799	17.8815	18.8408	19.961	21.9044	23.3908	24.9181	26.5463	28.2594	29.5794	31.3352	33.7944	34.6478	37.1873	38.6605	41.7718	43.1023	45.2177	48.1536	49.862	51.7479	54.0977	56.2424	57.5694	59.1515	62.159	62.3593	66.0953	67.2057	69.5407	72.0666	73.191	75.0697	76.959	79.3276	80.6684	81.8223	82.8521	85.762	86.7412	87.7001	88.5438	90.6019	91.5275	92.2793	92.7309	94.0488	95.5369	95.7311	96.6796	98.1899	98.7486	99.2886	99.7907	100.63	100.859	101.143	101.556	102.746	102.903	103.393	103.369	103.742	104.572	104.691	104.867	104.845	105.58	105.314	105.471	105.738	106.051	105.846	106.609	106.071	106.319	106.376	106.194	106.673	106.626	106.627	106.496	106.659	106.789
63	0.411488	1.82014	2.96349	4.07579	5.31232	6.20004	7.04803	8.12674	9.03874	9.86837	10.3807	11.8852	12.3557	13.0791	14.1725	15.4282	16.0412	17.2901	18.5522	19.6696	21.7239	22.7154	24.3565	25.6127	27.2895	28.8789	31.348	31.8752	34.2461	36.4678	37.9025	40.2431	41.5239	45.0309	46.3072	48.3196	49.9347	52.3118	54.8947	56.8927	58.1058	61.8038	62.2114	64.2506	66.1488	68.441	70.9783	72.2041	74.5599	75.4406	77.4456	79.5641	80.8215	82.9055	84.1134	85.6677	86.8419	88.1547	89.5559	89.9429	92.0853	93.0285	93.9057	95.2167	95.5384	96.4795	97.6047	98.658	98.8501	99.4897	99.8433	101.034	101.404	101.434	102.584	102.503	102.875	103.734	103.53	104.141	104.529	105.099	104.58	105.012	105.389	105.181	105.705	105.606	105.936	106.142	106.088	106.415	106.482	106.428	106.583	106.553	106.781	106.727	106.696	106.782	106.955
